CNN,SURVEY_SOURCE,PRIMARY_ST,CROSS_STREET_1,CROSS_ST_2,MID_CORRIDOR,TYPE,DIRECTION,DAY,DATE,DAY_OF_WEEK,DAY_OF_MONTH,MONTH,YEAR,ROADWAY_CLASS,DATA_SOURCE,VOLUME_ADT,VOLUME_AM_PEAK,VOLUME_PM_PEAK,85_PERC_SPEED,AVERAGE_SPEED,,,,,,,,,
4875201,SFDPH,DOLORES ST,21ST ST,22ND ST,,,SB,5,8/30/12,THURSDAY,30,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,33,27,,,,,,,,,
4875101,SFDPH,DOLORES ST,21ST ST,22ND ST,,,NB,5,8/30/12,THURSDAY,30,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,26,,,,,,,,,
4886101,SFDPH,DOLORES ST,28TH ST,VALLEY ST,,,SB,5,8/30/12,THURSDAY,30,8,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,26,,,,,,,,,
22645000,SFDPH,MONTEREY BLVD,VALDEZ AVE,,,,EB,5,9/20/12,THURSDAY,20,9,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
22645000,SFDPH,MONTEREY BLVD,VALDEZ AVE,,,,WB,5,9/20/12,THURSDAY,20,9,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,27,,,,,,,,,
4871201,SFDPH,DOLORES ST,19TH ST,CUMBERLAND ST,,,NB,5,9/27/12,THURSDAY,27,9,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,32,26,,,,,,,,,
4871101,SFDPH,DOLORES ST,19TH ST,CUMBERLAND ST,,,SB,5,9/27/12,THURSDAY,27,9,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,25,,,,,,,,,
3560000,SFDPH,CALIFORNIA ST,PIERCE ST,SCOTT ST,,,EB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,28,,,,,,,,,
3564000,SFDPH,CALIFORNIA ST,BAKER ST,LYON ST,,,WB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,28,,,,,,,,,
3560000,SFDPH,CALIFORNIA ST,PIERCE ST,SCOTT ST,,,WB,3,11/6/12,TUESDAY,6,11,2012,,SFMTA DEPT PARKING AND TRAFFIC,,,,31,27,,,,,,,,,
