,start_loc,end_loc,lat_x,lon_x,lat_y,lon_y,count
142,33 ST,SD 805 OFF RAMP ST,32.7099528,-117.1222721,,,55944
143,33 ST,WABASH  AV,32.7099528,-117.1222721,32.7489948,-117.1207433,4299
144,33 ST,WABASH AV,32.7099528,-117.1222721,32.7489948,-117.1207433,263688
145,33 ST,WABASH BL,32.7099528,-117.1222721,,,22314
146,34 ST,HAWLEY BL,32.7099528,-117.1222721,,,14416
147,35 ST,36 ST,32.7500396,-117.1180499,32.7548597,-117.1157743,108282
148,35 ST,38 ST,32.7500396,-117.1180499,32.7500652,-117.1118654,22068
149,35 ST,SWIFT AV,32.7500396,-117.1180499,32.7496891,-117.1192792,5375
150,36 ST,CHEROKEE  AV,32.7548597,-117.1157743,32.760948,-117.114098,15978
151,36 ST,CHEROKEE AV,32.7548597,-117.1157743,32.760948,-117.114098,107876
152,36 ST,GATEWAY CENTER DR,32.7548597,-117.1157743,32.7121362,-117.1141535,15856
153,36 ST,GATEWAY CTR DR,32.7548597,-117.1157743,32.7121362,-117.1141535,128174
154,37 ST,38 ST,32.7558008,-117.1136089,32.7500652,-117.1118654,44755
155,37 st,38 ST,32.7558008,-117.1136089,32.7500652,-117.1118654,7962
156,38 ST,39 ST,32.7500652,-117.1118654,32.7571463,-117.1103992,244778
157,38 ST,40 ST,32.7500652,-117.1118654,32.7174202,-117.1627728,20818
158,38 ST,ALLEY E/O 38 ST,32.7500652,-117.1118654,32.7500652,-117.1118654,53460
159,38 ST,ALLEY W/O 38 ST,32.7500652,-117.1118654,32.8031781,-117.2575085,52180
160,38 ST,EPSILON ST,32.7500652,-117.1118654,32.687714,-117.105949,1185
161,38 ST,VESTA ST,32.7500652,-117.1118654,32.6883474,-117.1126318,14541
162,39 ST,38 ST,32.7571463,-117.1103992,32.7500652,-117.1118654,19066
163,39 ST,40 ST,32.7571463,-117.1103992,32.7174202,-117.1627728,79822
164,39TH ST,40TH ST,32.7571463,-117.1103992,32.7479225,-117.1095216,1707
165,4 AV,3 AV,32.7174202,-117.1627728,32.7174202,-117.1627728,28048
166,4 AV,5 AV,32.7174202,-117.1627728,32.7174202,-117.1627728,49472
167,40 ,MARKETPLACE  AV,33.2697029,-116.4081049,32.7033787,-117.1018441,9367
168,40 SD,SD 805  ,33.2697029,-116.4081049,,,12014
169,40 ST,39 ST,33.2697029,-116.4081049,32.7571463,-117.1103992,19969
170,40 ST,41 ST,33.2697029,-116.4081049,32.7531249,-117.1069115,90880
171,40 ST,CENTRAL  AV,32.7174202,-117.1627728,32.7458065,-117.1081934,8606
172,40 ST,CENTRAL AV,32.7174202,-117.1627728,32.7458065,-117.1081934,31203
173,40 ST,SD 805 ST,32.7174202,-117.1627728,,,12089
174,41 ST,43 ST,32.7531249,-117.1069115,32.7550658,-117.101892,23335
175,41 ST,MARLBOROUGH  AV,32.7531249,-117.1069115,32.7550977,-117.1061425,4036
176,41 ST,MARLBOROUGH AV,32.7531249,-117.1069115,32.7550977,-117.1061425,170305
177,42 ST,42 ST,32.7457831,-117.1045088,32.7457831,-117.1045088,19693
178,42 ST,ALLEY E/O 42 ST,32.7457831,-117.1045088,32.7457831,-117.1045088,69730
179,42 ST,ALLEY W/O 42 ST,32.7457831,-117.1045088,32.7500652,-117.1118654,77001
180,42 ST,COPELAND AV,32.7457831,-117.1045088,32.7550806,-117.1040088,56286
181,42 ST,VAN DYKE AV,32.7457831,-117.1045088,32.7637165,-117.1023644,51104
182,4245 SORRENTO VY BL,JUNIPER PARK LN,,,32.913441,-117.19828,11608
