,Unnamed: 0,start_loc,end_loc,lat_x,lon_x,lat_y,lon_y,count
1500,1500,DIVISION ST,CERVANTES AV,32.6823742,-117.1108395,32.6978572,-117.0700941,6536
1501,1501,DIVISION ST,MARINE VIEW AV,32.6823742,-117.1108395,32.990425,-117.254494,33693
1502,1502,DIVISION ST,PLAZA TAXCO ST,32.6823742,-117.1108395,32.6956049,-117.0591734,18146
1503,1503,DIVISION ST,WESMEAD ST,32.6823742,-117.1108395,32.6955321,-117.0701419,9964
1504,1504,DIVISION ST,WOODMAN ST,32.6823742,-117.1108395,32.709701,-117.0546294,5710
1506,1506,DOLIVA DR,CANNINGTON DR,32.8306785,-117.1756978,32.8315812,-117.169212,7279
1507,1507,DOLIVA DR,MT ABERNATHY AV,32.8306785,-117.1756978,32.8292325,-117.1714406,13305
1509,1509,DOLLY PL,GRAMERCY DR,32.79245,-117.133858,32.8028374,-117.1387469,836
1510,1510,DOLPHIN PL,CAMINO COSTA PL,32.79245,-117.133858,32.820221,-117.277252,2133
1511,1511,DONALDSON DR,FOGG ST,32.806416,-117.228951,32.802985,-117.2244142,43320
1512,1512,DONALDSON DR,SOLEDAD MTN DR,32.806416,-117.228951,32.802985,-117.2244142,20626
1513,1513,DONALDSON DR,SOLEDAD MTN RD,32.806416,-117.228951,32.8123354,-117.2324595,89846
1514,1514,DONAX AV,PALM AV,32.5820431,-117.0857495,32.8123354,-117.2324595,20890
1515,1515,DOREEN RD,MISSION GORGE RD,32.8160697,-117.0580683,32.8371239,-117.026799,31897
1516,1516,DORIANA ST,PARADISE VY RD,32.685257,-117.04792,32.688251,-117.048828,51925
1520,1520,DORMOUSE CT,ECLIPSE RD,32.944828,-117.153107,32.946602,-117.153313,880
1521,1521,DOWDY DR,CABOT DR,32.8913851,-117.1468965,32.8919367,-117.1440646,27493
1522,1522,DOWDY DR,TRADE PL,32.8913851,-117.1468965,32.8911732,-117.1533865,14686
1523,1523,DOWNY DR,CABOT DR,32.8913851,-117.1468965,32.8919367,-117.1440646,8145
1524,1524,DRACAENA CT,LIROPE ST,32.692486,-117.065697,32.6915004,-117.0663638,9632
1525,1525,DRAPER AV,EADS AV,32.8374841,-117.2758005,32.8402557,-117.2750163,67987
1526,1526,DRUCKER LN,SARNEN ST,32.5519726,-116.949512,32.5531264,-116.9534924,17464
1527,1527,DUBOIS  DR,PROVIDENCE  RD,32.836353,-117.198273,32.836758,-117.197594,12490
1528,1528,DUBOIS DR,GENESEE AV,32.836353,-117.198273,32.7914365,-117.1597319,150468
1529,1529,DUBOIS DR,PROVIDENCE RD,32.836353,-117.198273,32.7914365,-117.1597319,19646
1530,1530,DUBOIS DR DR,GENESEE AV,32.836353,-117.198273,32.7914365,-117.1597319,28680
1531,1531,DUBONNET  ST,AERO  DR,32.8078501,-117.144411,32.8096863,-117.1463609,5228
1532,1532,DUBONNET ST,AERO  DR,32.8078501,-117.144411,32.8096863,-117.1463609,2984
1533,1533,DUBONNET ST,AERO DR,32.8078501,-117.144411,32.8096863,-117.1463609,11676
1534,1534,DUCOS PL,RUEDA DR,32.819937,-117.0969159,32.824516,-117.079399,41147
1535,1535,DUENDA RD,ALVEO WY,33.03545,-117.083099,33.035076,-117.079277,11637
1536,1536,DUENDA ST,MATINAL RD,33.03545,-117.083099,33.0315883,-117.0850561,4430
1541,1541,DUNANT ST,REGENTS RD,32.8521587,-117.2197021,32.8626995,-117.2226386,23089
1542,1542,DUNCAN  RD,DEWSBURY  AV,32.8521587,-117.2197021,32.918747,-117.131653,23696
1543,1543,DUNCAN RD,DEWSBURY AV,32.8521587,-117.2197021,32.918747,-117.131653,37557
1544,1544,DUNLOP ST,LINDA VISTA RD,32.78577,-117.167267,32.7974246,-117.1601845,8920
1545,1545,DUSK DR,GARBER AV,32.677082,-117.048569,32.669559,-117.047417,8896
1546,1546,DWIGHT  ST,LANDIS  ST,32.7440522,-117.1051652,32.7459042,-117.1026726,6612
1547,1547,DWIGHT ST,LANDIS ST,32.7440522,-117.1051652,32.7459042,-117.1026726,33719
1548,1548,DWIGHT ST,UNIVERSITY AV,32.7440522,-117.1051652,32.7459042,-117.1026726,1536
1549,1549,E  ST,F ST,32.7440522,-117.1051652,32.7135823,-117.1648256,7768
1551,1551,E BRIARFIELD DR,DAWES ST,32.791782,-117.248787,32.8038345,-117.2518654,34685
1552,1552,E HARBOR DR,MAIN ST,32.7086318,-117.1635315,32.8038345,-117.2518654,78986
