,index,lat,lng
334,CALLE SERENA ,32.679672,-117.059303
335,CALLE TORTUOSA DR,32.679855,-117.055054
336,CALLE TREPADORA ,32.679855,-117.055054
337,CALYPSO PL,33.0613857,-117.3019431
338,CAMBER DR,32.8248217,-117.1739945
339,CAMINA ROSA ,32.8248217,-117.1739945
340,CAMINITO AGADIR DR,32.899094,-117.105308
341,CAMINITO ARCADA DR,32.9328034,-117.0943513
342,CAMINITO BARCO ,32.9377939,-117.2575205
343,CAMINITO CAMPANA DR,33.023708,-117.07
344,CAMINITO CANADA RD,33.023708,-117.07
345,CAMINITO CASCARA RD,32.7822222,-117.1088566
346,CAMINITO DESEO  ,32.867496,-117.239388
347,CAMINITO DESEO DR,32.867496,-117.239388
348,CAMINITO DIA ,32.862381,-117.222092
349,CAMINITO EASTBLUFF ,32.8585539,-117.2332664
350,CAMINITO GRECO ,32.8030752,-117.0492912
351,CAMINITO MALLORCA  DR,32.8030752,-117.0492912
352,CAMINITO MEMOSAC DR,32.900127,-117.10112
353,CAMINITO PINERO  RD,33.0359576,-117.0757806
354,CAMINITO PINERO RD,33.0359576,-117.0757806
355,CAMINITO SERENO  ,32.922977,-117.064758
356,CAMINITO SERENO RD,32.922977,-117.064758
357,CAMINITO VALERIANO DR,32.8578424,-117.2290559
358,CAMINITO VECINOS RD,33.0126591,-117.057021
359,CAMINITO VISTANA ,32.9733735,-117.1551026
360,CAMINITO ZAR ,32.9023391,-117.1220329
361,CAMINO ARROYO RD,32.7668481,-117.1583407
362,CAMINO DE LA PLAZA AV,32.5453669,-117.0442911
363,CAMINO DE LA REINA  DR,32.7677176,-117.1552374
364,CAMINO DE LA REINA LN,32.7677176,-117.1552374
365,CAMINO DEL RIO N,32.7668992,-117.1532824
366,CAMINO DEL RIO N ,32.7668992,-117.1532824
367,CAMINO DEL RIO N  ,32.7668992,-117.1532824
368,CAMINO DEL RIO N RA,32.7668992,-117.1532824
369,CAMINO DEL RIO N RD,32.7668992,-117.1532824
370,CAMINO DEL SUR ,33.009212,-117.1452309
371,CAMINO DEL SUR  ,33.009212,-117.1452309
372,CAMINO DEL SUR RD,33.009212,-117.1452309
373,CAMINO DONAIRE ST,32.576809,-117.067177
374,CAMINO KIOSCO AV,32.862984,-117.21376
